Country,Broadband Speed Rank,Broadband Mbps,Mobile Speed Rank,Mobile Mbps,As of
Monaco,1,192.68,,,22-Jan
Singapore,2,192.01,19,64.92,22-Jan
Chile,3,189.36,109,15.5,22-Jan
Thailand,4,184.03,56,32.38,22-Jan
Hong Kong (SAR),5,173.42,38,45.86,22-Jan
Denmark,6,163.6,8,87.11,22-Jan
Macau (SAR),7,156.73,35,47.56,22-Jan
China,8,155.79,9,85.83,22-Jan
United States,9,143.76,21,62.47,22-Jan
Spain,10,134.19,49,35.59,22-Jan
Romania,11,127.07,52,33.8,22-Jan
Liechtenstein,12,118.19,,,22-Jan
New Zealand,13,113.14,34,49.32,22-Jan
Japan,14,112.9,42,42.9,22-Jan
United Arab Emirates,15,111.79,1,135.62,22-Jan
Switzerland,16,110.3,15,76.53,22-Jan
Norway,17,105.61,2,118.44,22-Jan
Netherlands,18,102.6,5,107.24,22-Jan
Sweden,19,102.08,23,60.3,22-Jan
Hungary,20,100.65,44,39.96,22-Jan
Canada,21,100.06,16,76.32,22-Jan
Portugal,22,99.62,11,80.05,22-Jan
South Korea,23,99.59,4,109.14,22-Jan
Kuwait,24,96.93,10,81.33,22-Jan
Taiwan,25,96.82,28,54.03,22-Jan
Panama,26,94.51,100,16.71,22-Jan
France,27,94.34,24,56.45,22-Jan
Andorra,28,92.42,,,22-Jan
Moldova,29,92.4,53,33.78,22-Jan
Luxembourg,30,92.1,12,76.82,22-Jan
Malta,31,90.36,36,47.08,22-Jan
Finland,32,89.6,20,64.78,22-Jan
Israel,33,87.98,75,23.74,22-Jan
Brazil,34,87.52,74,23.84,22-Jan
Poland,35,86.2,46,37.35,22-Jan
Uruguay,36,85.61,57,32.28,22-Jan
Malaysia,37,84.18,65,26.91,22-Jan
Belgium,38,81.1,29,52.32,22-Jan
Lithuania,39,79.81,41,44.11,22-Jan
Trinidad and Tobago,40,79.35,63,28.31,22-Jan
Saudi Arabia,41,79.32,6,94.25,22-Jan
Saint Lucia,42,73.7,,,22-Jan
Qatar,43,72.22,3,109.86,22-Jan
Germany,44,69.52,30,52.3,22-Jan
Barbados,45,68.83,,,22-Jan
San Marino,46,68.29,,,22-Jan
Vietnam,47,67.5,45,39.01,22-Jan
Ireland,48,66.39,71,26.06,22-Jan
Latvia,49,64.93,51,34.67,22-Jan
Russia,50,63.76,89,19.18,22-Jan
Slovenia,51,63.63,31,51.33,22-Jan
United Kingdom,52,61.69,33,49.41,22-Jan
Colombia,53,59.97,118,12.98,22-Jan
Saint Vincent and the Grenadines,54,58.26,,,22-Jan
Bulgaria,55,55.9,7,87.82,22-Jan
Paraguay,56,54.58,106,15.97,22-Jan
Ukraine,57,52.5,62,29.06,22-Jan
Estonia,58,52.3,27,54.57,22-Jan
Austria,59,51.62,26,54.69,22-Jan
Dominica,60,50.96,,,22-Jan
Australia,61,50.89,18,68.35,22-Jan
Montenegro,62,50.81,67,26.5,22-Jan
Costa Rica,63,50.79,95,17.49,22-Jan
Grenada,64,50.66,,,22-Jan
Jordan,65,50.18,98,16.95,22-Jan
Italy,66,49.8,50,35.11,22-Jan
Philippines,67,49.52,92,17.95,22-Jan
Serbia,68,48.97,43,41.06,22-Jan
Czechia,69,47.68,40,44.72,22-Jan
Bahrain,70,47.38,39,44.89,22-Jan
Slovakia,71,47.34,59,31.9,22-Jan
India,72,47.08,116,13.49,22-Jan
Mongolia,73,46.81,108,15.6,22-Jan
Belarus,74,45.67,126,11.19,22-Jan
Kosovo,75,45.28,64,26.91,22-Jan
Kyrgyzstan,76,43.31,96,17.45,22-Jan
Peru,77,43.21,113,14.74,22-Jan
Oman,78,42.65,32,50.38,22-Jan
Nepal,79,39.73,112,14.96,22-Jan
Croatia,80,39.54,14,76.61,22-Jan
Mexico,81,38.77,80,22.26,22-Jan
Argentina,82,38.47,84,20.07,22-Jan
The Bahamas,83,37.69,,,22-Jan
Uzbekistan,84,36.85,115,13.85,22-Jan
Jamaica,85,36.45,55,32.88,22-Jan
Egypt,86,35.67,88,19.34,22-Jan
Brunei,87,35.26,17,76.02,22-Jan
